	OM1	OM2	OM3	OM4	OM5	OM6	YM1	YM2	YM4	YM5	YM6	YM7
ENSMUSG00000087365	8.07	15.90	12.17	6.50	13.37	11.79	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035112	1.93	1.32	0.00	6.92	1.61	5.66	0.00	0.00	0.00	0.00	0.00	2.79
ENSMUSG00000107315	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
ENSMUSG00000084996	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000033963	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000046814	0.00	6.09	0.00	0.00	4.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099744	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081614	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101664	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065494	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034353	61.29	32.27	39.04	9.16	30.68	40.35	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000073591	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077113	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000067148	26.38	37.47	75.63	24.93	27.81	32.33	0.00	2.83	0.00	12.19	6.63	6.68
ENSMUSG00000099692	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105672	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000043126	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022225	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101913	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020214	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000579	64.78	17.15	45.92	4.54	28.36	20.68	1.91	0.78	0.00	0.11	0.91	1.23
ENSMUSG00000023033	6.65	2.00	0.00	8.40	9.79	2.67	17.21	9.20	7.63	15.14	10.47	8.53
ENSMUSG00000035373	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000067547	22.96	84.02	8.67	60.41	36.44	50.73	22.24	14.33	33.06	17.46	6.74	26.65
ENSMUSG00000101721	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000084803	0.11	0.29	0.00	0.00	0.00	9.01	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000075480	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094855	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.00
ENSMUSG00000036925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000021319	104.74	42.15	245.91	24.39	182.00	109.88	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082757	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000079677	99.15	67.38	71.89	58.60	59.51	55.44	2.69	14.24	24.67	7.48	2.59	19.60
ENSMUSG00000081944	0.00	0.00	0.00	2.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.91
ENSMUSG00000000204	0.00	0.00	1.81	0.67	0.00	2.94	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000023011	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000089152	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000021843	82.80	26.14	21.71	30.25	38.32	16.37	48.45	75.52	268.78	83.33	116.36	113.53
ENSMUSG00000101931	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029468	0.00	4.47	7.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000078768	0.00	3.05	1.97	1.92	0.85	0.00	0.00	0.53	4.62	0.00	0.00	0.00
ENSMUSG00000091376	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000064574	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105688	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000046747	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035085	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000038608	0.00	0.20	0.19	0.00	0.00	0.00	0.00	0.53	0.81	0.58	1.93	0.26
ENSMUSG00000024298	2.83	1.97	2.89	0.51	1.87	1.11	0.00	0.00	0.00	1.71	0.00	0.00
ENSMUSG00000048703	1.55	0.37	0.00	5.53	1.09	0.00	7.56	2.96	1.23	0.72	7.77	3.25
ENSMUSG00000083342	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082534	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077131	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088473	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102541	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099817	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065737	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101756	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082614	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102664	0.65	0.00	0.00	0.18	0.10	1.82	0.00	0.08	0.00	0.00	0.00	0.31
ENSMUSG00000105159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000007035	0.00	2.35	0.00	0.00	0.83	0.82	2.04	1.99	3.38	1.05	0.00	2.10
ENSMUSG00000084706	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106971	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077745	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099957	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000014668	11.90	22.14	18.02	36.97	13.13	8.48	48.83	36.03	40.40	28.80	85.74	19.04
ENSMUSG00000024642	5.78	3.10	1.12	1.19	2.43	1.86	1.96	5.58	4.87	6.83	2.74	2.03
ENSMUSG00000062410	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022526	1.33	1.55	4.54	0.11	0.44	0.00	0.00	0.29	1.69	0.00	0.00	0.25
ENSMUSG00000098332	61.18	39.35	58.64	12.61	41.21	32.81	0.00	0.00	0.00	2.33	0.00	3.31
ENSMUSG00000031483	5.63	1.27	12.58	1.88	3.16	14.40	0.00	1.14	0.28	0.91	0.00	0.11
ENSMUSG00000096336	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104997	25.00	0.00	38.28	0.00	0.00	10.05	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000015575	548.77	567.46	419.34	451.06	588.31	419.36	14.77	119.43	63.76	203.73	0.00	217.91
ENSMUSG00000080625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099248	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000032342	2.34	6.09	13.25	4.56	3.51	15.90	20.13	0.72	0.00	0.15	3.74	0.11
ENSMUSG00000081602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099524	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106620	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101853	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000089679	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107229	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094915	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108184	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000050276	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104086	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000040220	0.00	8.11	12.42	0.00	2.84	9.32	2.54	1.52	2.15	0.39	0.00	2.00
ENSMUSG00000048806	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035104	0.00	1.89	1.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024437	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
