	OM1	OM2	OM3	OM4	OM5	OM6	YM1	YM2	YM4	YM5	YM6	YM7
ENSMUSG00000074870	6.06	4.50	0.00	10.42	7.68	9.76	22.21	2.61	2.29	10.17	48.43	5.82
ENSMUSG00000031756	191.17	338.51	3.97	385.33	318.42	124.80	1139.54	358.69	106.53	289.52	460.31	450.38
ENSMUSG00000067599	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000038005	879.88	1260.54	34.76	1659.62	1501.74	201.06	1000.39	1664.25	1837.23	1998.82	356.75	1941.11
ENSMUSG00000080671	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098513	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095916	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065274	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105085	2.06	1.46	0.00	1.92	0.00	0.00	1.90	0.00	2.82	0.00	0.00	1.82
ENSMUSG00000024959	28.38	32.87	54.88	3.29	14.66	42.70	1.34	1.86	2.06	0.68	0.00	0.83
ENSMUSG00000108608	0.72	1.50	0.00	2.10	0.91	1.41	5.65	0.80	2.33	1.47	5.25	2.48
ENSMUSG00000094485	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027350	0.00	0.49	1.25	2.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000080730	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094610	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031931	47.26	34.75	13.56	50.12	37.41	13.56	85.26	64.38	95.76	63.80	63.33	53.30
ENSMUSG00000087795	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025197	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.59
ENSMUSG00000083643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025979	85.27	390.56	112.98	376.05	397.62	100.95	70.19	263.10	42.21	269.06	42.54	298.35
ENSMUSG00000064254	39.72	66.13	11.23	81.79	56.90	27.32	88.33	23.18	30.69	29.89	6.10	42.63
ENSMUSG00000083664	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099160	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034652	2.76	1.36	0.15	1.26	0.70	4.07	0.79	0.57	0.59	1.42	0.06	3.14
ENSMUSG00000103614	0.00	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029700	0.06	0.15	0.00	0.18	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.09
ENSMUSG00000095753	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000050623	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099393	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085705	0.00	0.00	0.00	2.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097767	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000062980	1.78	0.22	1.59	0.07	0.00	0.00	0.00	0.10	0.00	0.57	0.00	0.66
ENSMUSG00000031913	6.60	24.46	20.55	28.78	13.64	18.70	92.32	14.29	19.72	14.86	14.71	10.57
ENSMUSG00000089287	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106735	0.00	0.00	0.00	0.55	0.34	0.00	0.00	0.56	0.00	0.62	0.00	0.17
ENSMUSG00000033429	36.10	47.27	47.78	38.15	51.41	51.84	4.06	2.68	5.25	1.96	0.00	7.88
ENSMUSG00000105373	0.44	0.00	3.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027107	3.48	1.15	0.30	2.63	0.26	1.16	0.32	0.03	0.50	0.14	1.43	0.69
ENSMUSG00000099439	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000045475	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000026126	0.00	1.19	0.00	5.68	3.94	0.00	0.00	1.78	2.04	2.24	0.00	0.00
ENSMUSG00000098531	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065509	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094773	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027508	0.00	0.65	0.00	0.40	0.00	0.00	1.06	1.81	2.66	1.13	0.70	0.58
ENSMUSG00000058886	7.00	5.44	21.52	3.18	4.82	0.00	3.52	1.44	3.00	1.88	0.00	1.15
ENSMUSG00000081174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094940	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077673	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098387	0.00	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083721	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000074155	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085162	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00
ENSMUSG00000005628	5.11	8.47	0.00	0.85	1.24	0.00	0.00	2.22	3.98	3.13	5.05	0.00
ENSMUSG00000037315	2.32	0.90	0.00	0.00	0.08	5.14	0.00	0.00	0.00	0.49	0.00	0.00
ENSMUSG00000086254	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103963	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083913	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081429	8.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088293	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000042385	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096414	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000048100	63.25	78.45	32.31	73.39	83.93	183.42	389.22	121.94	54.47	101.20	429.35	191.97
ENSMUSG00000102483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029098	0.62	1.79	2.46	1.11	1.57	0.00	3.02	7.14	11.08	7.83	5.01	8.45
ENSMUSG00000098125	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000042244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000075175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034707	3.88	4.42	6.55	3.03	2.70	1.20	0.39	1.56	0.67	0.16	0.00	0.51
ENSMUSG00000033174	0.04	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097349	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095646	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000016427	1298.83	1576.37	615.18	655.35	1444.91	698.41	0.00	109.05	100.63	137.91	0.00	222.11
ENSMUSG00000077710	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000044595	0.00	1.94	4.65	1.94	0.00	4.19	0.00	0.26	0.00	0.00	0.00	0.00
ENSMUSG00000021271	3.50	2.00	0.46	4.93	4.94	0.00	0.40	7.89	23.43	10.40	7.08	8.79
ENSMUSG00000101342	9.73	22.11	0.00	31.03	7.55	6.05	57.49	26.05	32.48	49.54	65.10	41.91
ENSMUSG00000053773	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104539	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097831	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	1.01
ENSMUSG00000035239	29.55	7.86	3.07	10.05	8.79	21.08	0.78	0.89	0.51	1.52	0.09	1.05
ENSMUSG00000021061	0.00	0.99	2.52	0.76	0.11	0.00	0.00	0.02	0.00	0.00	0.00	0.00
ENSMUSG00000083931	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102775	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030161	18.88	19.94	48.89	3.77	8.68	39.35	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000049932	5.49	47.93	65.82	72.56	32.89	15.83	8.37	27.13	15.03	20.37	1.47	25.90
ENSMUSG00000042073	0.00	1.27	11.28	0.00	3.15	23.04	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103944	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082303	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000092765	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104692	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022105	9.22	4.68	4.27	6.36	6.82	2.68	9.36	21.44	25.13	23.46	43.92	18.21
ENSMUSG00000024947	6.27	3.74	12.33	1.61	1.64	4.17	2.65	4.40	3.42	0.00	0.00	0.09
ENSMUSG00000094895	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000064129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000021451	6.35	1.06	1.16	4.16	3.18	3.06	0.00	10.52	17.83	11.10	2.36	6.84
ENSMUSG00000047531	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077425	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000073551	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00
ENSMUSG00000034160	13.23	5.77	4.45	3.71	8.83	3.75	1.25	8.50	2.48	4.31	0.22	3.58
ENSMUSG00000000958	0.00	1.15	0.00	0.34	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.23
ENSMUSG00000099652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083366	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000087873	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101796	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000086474	25.96	17.36	0.00	69.33	72.43	0.00	15.84	15.37	6.12	19.91	5.69	26.85
ENSMUSG00000025068	11.15	30.03	46.22	12.86	22.97	36.22	0.00	0.67	0.00	0.00	0.00	0.00
ENSMUSG00000061510	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000056492	0.32	0.25	0.09	0.02	0.26	1.04	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000002846	13.38	2.85	10.85	0.56	3.33	5.23	0.00	1.06	0.26	0.00	0.00	0.31
ENSMUSG00000032583	0.40	1.54	11.71	0.34	5.12	0.00	0.00	2.78	1.53	0.63	0.00	0.45
ENSMUSG00000039485	5.53	1.34	0.09	7.11	5.07	0.10	11.86	13.52	12.31	8.73	14.41	11.50
ENSMUSG00000090941	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102906	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024258	434.82	577.17	82.46	1165.28	645.37	60.34	10.37	348.12	251.30	373.33	9.81	427.84
ENSMUSG00000067279	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000247	0.00	1.79	0.00	0.38	0.41	0.00	0.00	1.69	5.70	2.79	0.00	3.62
ENSMUSG00000083681	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081907	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001656	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000058135	1.76	78.17	126.24	18.55	42.78	161.06	5.95	0.00	0.00	0.00	6.99	0.00
ENSMUSG00000060036	278.06	307.79	665.62	73.21	208.57	449.42	0.00	0.45	3.27	0.00	0.00	0.00
ENSMUSG00000104817	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065594	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093973	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025278	0.41	1.80	2.01	4.68	3.61	0.00	1.83	20.08	17.82	24.03	4.76	15.62
ENSMUSG00000082797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037020	1.01	2.55	1.17	0.00	0.00	0.00	1.39	1.83	10.97	4.96	0.00	0.95
ENSMUSG00000102893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000044065	0.00	10.56	0.23	25.87	14.99	0.19	10.97	2.03	5.91	7.69	0.00	15.44
ENSMUSG00000071033	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000084713	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000073491	0.00	0.00	0.00	0.04	0.00	0.06	0.07	0.00	0.00	0.00	0.10	0.00
ENSMUSG00000104763	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093740	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000059429	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029223	223.57	382.83	406.88	700.48	467.10	117.78	398.32	597.60	865.34	659.06	92.82	390.98
ENSMUSG00000084921	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000091114	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024617	0.00	0.00	2.34	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.13
ENSMUSG00000069581	0.00	0.00	0.00	0.74	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00
ENSMUSG00000037234	3.71	5.73	3.39	7.56	6.25	5.21	13.44	8.94	20.74	12.32	1.68	11.30
ENSMUSG00000031681	7.43	4.98	3.43	13.63	8.69	3.60	15.08	28.06	35.42	34.45	33.03	26.74
ENSMUSG00000021591	250.60	182.78	26.95	242.10	208.70	6.46	2.95	86.84	36.10	87.51	0.00	124.80
ENSMUSG00000086129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103529	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000058521	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000050783	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088028	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097357	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107777	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095363	1.95	0.00	0.00	4.18	1.96	0.00	0.00	3.44	1.64	2.39	11.13	0.86
ENSMUSG00000074302	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095190	4.14	0.00	0.00	2.64	2.93	0.00	6.30	3.47	2.67	2.47	5.88	0.86
ENSMUSG00000095344	0.70	6.54	0.00	7.54	4.34	1.66	17.83	12.12	10.64	5.65	10.26	12.63
ENSMUSG00000029167	0.00	0.87	0.00	0.00	1.01	0.00	0.00	0.00	1.60	0.00	0.00	0.00
ENSMUSG00000099707	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000048349	24.74	5.90	0.00	8.80	8.39	5.60	43.03	10.85	24.76	10.14	47.48	20.75
ENSMUSG00000065454	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000069094	0.52	1.08	7.35	0.85	0.73	8.59	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095285	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096301	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024892	0.37	0.58	0.00	0.00	0.05	1.72	0.10	0.08	0.00	0.43	0.14	0.11
ENSMUSG00000066867	708.01	1662.66	15.31	2074.04	1353.98	13.61	275.69	1075.61	455.80	1449.28	111.39	1660.78
ENSMUSG00000084956	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00
ENSMUSG00000011263	0.44	0.00	0.00	0.00	0.00	1.09	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000070871	13.94	3.23	0.00	9.14	8.06	0.00	1.53	54.09	49.04	54.35	2.51	36.18
ENSMUSG00000022762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029655	45.77	61.61	36.76	58.24	55.19	18.55	15.97	49.62	69.18	63.13	22.82	68.83
ENSMUSG00000088573	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000090406	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102441	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085976	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000084731	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104744	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000057967	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	6.86	0.00	0.00	2.69
ENSMUSG00000007080	1.35	2.86	1.69	0.33	4.15	0.63	0.00	0.54	0.35	0.66	0.00	0.09
ENSMUSG00000073843	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000064081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099672	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000062245	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105692	2.30	0.00	0.94	0.00	1.90	0.00	0.08	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000061462	0.56	0.14	0.00	0.00	0.02	0.54	0.24	1.21	0.97	0.04	0.00	0.82
ENSMUSG00000095895	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000039753	36.98	55.95	17.68	71.29	60.68	31.64	65.99	52.65	34.50	41.36	50.51	25.41
ENSMUSG00000049658	6.43	0.89	4.05	0.37	1.73	1.28	2.72	5.31	7.35	7.93	28.76	3.23
ENSMUSG00000049565	34.48	30.89	0.00	46.45	39.02	0.00	10.49	35.27	31.91	33.51	5.68	30.48
ENSMUSG00000102365	0.00	0.00	0.00	0.00	0.16	3.06	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000082315	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035439	10.82	38.73	16.68	38.19	29.44	2.12	2.25	15.09	24.45	19.31	0.00	13.95
ENSMUSG00000024068	14.86	5.61	2.34	7.22	11.47	1.35	10.19	30.55	53.59	37.23	44.60	25.83
ENSMUSG00000083905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096214	0.00	0.00	3.20	0.00	3.60	0.90	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000102283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108627	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093953	0.00	0.00	0.00	0.00	2.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000042444	2.24	0.93	0.78	0.71	0.64	3.83	0.00	0.52	1.41	0.36	0.79	0.21
ENSMUSG00000070564	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000079697	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088339	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085867	0.00	0.22	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000003166	5.46	13.98	12.42	6.93	3.59	7.11	1.13	21.81	15.30	19.92	0.32	22.38
ENSMUSG00000091396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000004788	7.44	24.78	55.49	13.02	21.19	36.88	8.15	12.61	13.02	11.36	0.00	14.90
ENSMUSG00000105817	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000057530	33.69	20.93	21.83	2.51	14.66	36.70	3.56	5.57	13.11	8.65	5.16	8.88
ENSMUSG00000102600	0.46	0.34	0.00	0.96	0.54	0.58	1.60	2.03	5.49	2.51	4.56	2.59
ENSMUSG00000027954	8.41	41.18	13.90	59.16	34.62	18.36	0.70	61.83	34.40	43.95	2.72	84.72
ENSMUSG00000028961	11.80	29.89	68.59	8.99	16.42	66.10	8.99	11.32	9.05	6.56	0.00	6.42
ENSMUSG00000107602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000086454	93.20	72.06	0.00	70.38	58.12	12.98	158.46	55.83	50.73	44.66	95.09	87.74
ENSMUSG00000087853	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088493	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097805	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.29	0.00	0.00
ENSMUSG00000099688	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081229	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000982	11.10	6.34	0.00	2.56	1.01	0.00	4.76	4.19	0.00	6.06	1.60	4.76
ENSMUSG00000063260	0.00	0.11	0.00	0.00	0.00	0.00	0.63	0.00	0.64	0.00	0.00	0.00
ENSMUSG00000107757	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085921	30.00	25.99	0.60	53.29	37.11	89.52	76.53	22.01	4.05	32.17	80.98	39.70
ENSMUSG00000045065	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030732	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000078683	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085713	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097377	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105763	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000094363	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020629	18.31	12.35	25.40	8.33	8.60	15.12	0.00	2.49	0.00	0.40	0.00	2.59
